7.3333 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1470, 956]. Using actual size
11.1306 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.1475 	EXP 	Imported src/186c experiment survey form.csv as conditions, 4 conditions, 13 params
11.1480 	EXP 	Question text: How many languages do you know?
11.1482 	EXP 	window1: mouseVisible = True
11.1483 	EXP 	window1: mouseVisible = True
11.1487 	EXP 	window1: mouseVisible = True
11.1490 	EXP 	window1: mouseVisible = True
11.1662 	EXP 	window1: mouseVisible = True
11.1663 	EXP 	window1: mouseVisible = True
11.1667 	EXP 	window1: mouseVisible = True
11.1670 	EXP 	window1: mouseVisible = True
11.1766 	EXP 	window1: mouseVisible = True
11.1767 	EXP 	window1: mouseVisible = True
11.1770 	EXP 	window1: mouseVisible = True
11.1773 	EXP 	window1: mouseVisible = True
11.1807 	EXP 	window1: mouseVisible = True
11.1808 	EXP 	window1: mouseVisible = True
11.1811 	EXP 	window1: mouseVisible = True
11.1814 	EXP 	window1: mouseVisible = True
11.1849 	EXP 	Question text: List them, separated by comma (e.g. Chinese, English, Spanish)
11.1849 	EXP 	window1: mouseVisible = True
11.1850 	EXP 	window1: mouseVisible = True
11.1854 	EXP 	window1: mouseVisible = True
11.1857 	EXP 	window1: mouseVisible = True
11.1971 	EXP 	window1: mouseVisible = True
11.1972 	EXP 	window1: mouseVisible = True
11.1975 	EXP 	window1: mouseVisible = True
11.1978 	EXP 	window1: mouseVisible = True
11.2020 	EXP 	window1: mouseVisible = True
11.2021 	EXP 	window1: mouseVisible = True
11.2024 	EXP 	window1: mouseVisible = True
11.2027 	EXP 	window1: mouseVisible = True
11.2061 	EXP 	window1: mouseVisible = True
11.2062 	EXP 	window1: mouseVisible = True
11.2065 	EXP 	window1: mouseVisible = True
11.2068 	EXP 	window1: mouseVisible = True
11.2104 	EXP 	Question text: Please rate corresponding proficiency, separated by comma (e.g. 10, 9, 1)
11.2105 	EXP 	window1: mouseVisible = True
11.2106 	EXP 	window1: mouseVisible = True
11.2109 	EXP 	window1: mouseVisible = True
11.2112 	EXP 	window1: mouseVisible = True
11.2201 	EXP 	window1: mouseVisible = True
11.2201 	EXP 	window1: mouseVisible = True
11.2205 	EXP 	window1: mouseVisible = True
11.2207 	EXP 	window1: mouseVisible = True
11.2252 	EXP 	window1: mouseVisible = True
11.2253 	EXP 	window1: mouseVisible = True
11.2255 	EXP 	window1: mouseVisible = True
11.2259 	EXP 	window1: mouseVisible = True
11.2292 	EXP 	window1: mouseVisible = True
11.2293 	EXP 	window1: mouseVisible = True
11.2296 	EXP 	window1: mouseVisible = True
11.2299 	EXP 	window1: mouseVisible = True
11.2334 	EXP 	Question text: Provide a summed number of all the proficiencies.
11.2334 	EXP 	window1: mouseVisible = True
11.2335 	EXP 	window1: mouseVisible = True
11.2338 	EXP 	window1: mouseVisible = True
11.2341 	EXP 	window1: mouseVisible = True
11.2405 	EXP 	window1: mouseVisible = True
11.2406 	EXP 	window1: mouseVisible = True
11.2409 	EXP 	window1: mouseVisible = True
11.2412 	EXP 	window1: mouseVisible = True
11.2453 	EXP 	window1: mouseVisible = True
11.2454 	EXP 	window1: mouseVisible = True
11.2457 	EXP 	window1: mouseVisible = True
11.2460 	EXP 	window1: mouseVisible = True
11.2496 	EXP 	window1: mouseVisible = True
11.2497 	EXP 	window1: mouseVisible = True
11.2501 	EXP 	window1: mouseVisible = True
11.2504 	EXP 	window1: mouseVisible = True
11.2651 	EXP 	window1: mouseVisible = True
11.2653 	EXP 	window1: mouseVisible = True
11.2687 	EXP 	window1: mouseVisible = True
11.2719 	EXP 	window1: mouseVisible = True
11.2742 	EXP 	window1: mouseVisible = True
11.2744 	EXP 	window1: mouseVisible = True
11.2786 	EXP 	Created form = <psychopy.visual.form.Form object at 0x7fcf439b59a0>
11.2788 	EXP 	window1: mouseVisible = True
11.2789 	EXP 	window1: mouseVisible = True
11.2792 	EXP 	window1: mouseVisible = True
11.2795 	EXP 	window1: mouseVisible = True
11.2943 	EXP 	window1: mouseVisible = True
11.2944 	EXP 	window1: mouseVisible = True
11.2947 	EXP 	window1: mouseVisible = True
11.2951 	EXP 	window1: mouseVisible = True
11.3224 	EXP 	window1: mouseVisible = True
11.3225 	EXP 	window1: mouseVisible = True
11.3254 	EXP 	Created survey_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='survey_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.3255 	EXP 	window1: mouseVisible = True
11.3635 	EXP 	Created training_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='training_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.3653 	EXP 	Imported src/training_list.csv as conditions, 6 conditions, 2 params
11.3661 	EXP 	window1: mouseVisible = True
11.3686 	EXP 	Created training_fixation_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='training_fixation_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
11.3686 	EXP 	window1: mouseVisible = True
11.3710 	EXP 	Created training_fixation_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='training_fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
12.0049 	EXP 	Sound training_sound set volume 1.000
12.0055 	EXP 	window1: mouseVisible = True
12.0632 	EXP 	Created sample_start = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_start', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.0672 	EXP 	Imported src/sample_list.csv as conditions, 2 conditions, 1 params
12.0878 	EXP 	Sound sample_sound set volume 1.000
12.0880 	EXP 	window1: mouseVisible = True
12.0903 	EXP 	Created sample_fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
12.0904 	EXP 	window1: mouseVisible = True
12.0980 	EXP 	Created sample_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.0981 	EXP 	window1: mouseVisible = True
12.1062 	EXP 	Created trial_start = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_start', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.1084 	EXP 	Imported src/trial_list.csv as conditions, 32 conditions, 2 params
12.1214 	EXP 	Sound trial_sound set volume 1.000
12.1215 	EXP 	window1: mouseVisible = True
12.1234 	EXP 	Created trial_fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
12.1235 	EXP 	window1: mouseVisible = True
12.1262 	EXP 	Created trial_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Do you think this is the language you learned?', units='height', win=Window(...), wrapWidth=1)
12.1263 	EXP 	window1: mouseVisible = True
12.1305 	EXP 	Created conclusion_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='conclusion_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0229 	EXP 	unnamed Form: autoLog = True
0.0229 	EXP 	form: name = 'form'
0.0229 	EXP 	form: depth = -1
0.0229 	EXP 	form: fillColor = 'white'
0.0229 	EXP 	form: borderColor = 'transparent'
0.0406 	EXP 	intro_text: autoDraw = True
1.9353 	EXP 	intro_text: autoDraw = False
1.9353 	EXP 	survey_text: autoDraw = True
1.9566 	DATA 	Keypress: right
2.4535 	DATA 	Keypress: right
4.9391 	EXP 	form: autoDraw = True
4.9655 	EXP 	survey_text: autoDraw = False
8.4735 	DATA 	Keypress: g
8.5762 	DATA 	Keypress: tab
8.7433 	DATA 	Keypress: g
8.8826 	DATA 	Keypress: tab
9.0212 	DATA 	Keypress: g
9.1118 	DATA 	Keypress: tab
9.2689 	DATA 	Keypress: g
10.0748 	DATA 	Keypress: return
12.1687 	DATA 	Mouse: Left button down, pos=(749,44)
12.1691 	DATA 	Mouse:  Left button up, pos=(749,44)
12.5723 	DATA 	Mouse: Left button down, pos=(749,44)
12.5929 	EXP 	form: autoDraw = False
12.5929 	EXP 	survey_text: autoDraw = False
12.5929 	EXP 	training_text: autoDraw = True
12.6760 	DATA 	Mouse:  Left button up, pos=(749,44)
13.8166 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
13.8168 	EXP 	New trial (rep=0, index=0): None
13.8447 	DATA 	Keypress: space
13.8490 	EXP 	training_text: autoDraw = False
13.8490 	EXP 	training_fixation_1: autoDraw = True
14.8249 	EXP 	Sound training_sound started
16.5116 	DATA 	Keypress: escape
16.5585 	EXP 	186c experiment: status = STOPPED
16.5747 	EXP 	training_fixation_1: autoDraw = False
16.5747 	EXP 	186c experiment: status = STOPPED
16.6175 	EXP 	window1: mouseVisible = True
