4.7051 	ERROR 	Error in handleLineEditChange: inputFieldName=participant, type=<class 'int'>, value=, error=invalid literal for int() with base 10: ''
9.8837 	EXP 	window1: mouseVisible = True
9.8838 	EXP 	window1: mouseVisible = True
9.8841 	EXP 	window1: mouseVisible = True
9.8843 	EXP 	window1: mouseVisible = True
9.8905 	EXP 	window1: mouseVisible = True
9.8906 	EXP 	window1: mouseVisible = True
9.8909 	EXP 	window1: mouseVisible = True
9.8912 	EXP 	window1: mouseVisible = True
9.8948 	EXP 	window1: mouseVisible = True
9.8949 	EXP 	window1: mouseVisible = True
9.8952 	EXP 	window1: mouseVisible = True
9.8955 	EXP 	window1: mouseVisible = True
9.8987 	EXP 	window1: mouseVisible = True
9.8988 	EXP 	window1: mouseVisible = True
9.8991 	EXP 	window1: mouseVisible = True
9.8994 	EXP 	window1: mouseVisible = True
9.9127 	EXP 	window1: mouseVisible = True
9.9129 	EXP 	window1: mouseVisible = True
9.9164 	EXP 	window1: mouseVisible = True
9.9192 	EXP 	window1: mouseVisible = True
9.9214 	EXP 	window1: mouseVisible = True
9.9216 	EXP 	window1: mouseVisible = True
9.9252 	EXP 	Created form = <psychopy.visual.form.Form object at 0x7fe0e228bee0>
9.9253 	EXP 	window1: mouseVisible = True
9.9254 	EXP 	window1: mouseVisible = True
9.9257 	EXP 	window1: mouseVisible = True
9.9260 	EXP 	window1: mouseVisible = True
9.9398 	EXP 	window1: mouseVisible = True
9.9399 	EXP 	window1: mouseVisible = True
9.9402 	EXP 	window1: mouseVisible = True
9.9405 	EXP 	window1: mouseVisible = True
9.9564 	EXP 	window1: mouseVisible = True
9.9565 	EXP 	window1: mouseVisible = True
9.9592 	EXP 	Created survey_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='survey_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.9593 	EXP 	window1: mouseVisible = True
10.0000 	EXP 	Created training_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='training_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.0020 	EXP 	Imported src/training_list.csv as conditions, 6 conditions, 2 params
10.0029 	EXP 	window1: mouseVisible = True
10.0052 	EXP 	Created training_fixation_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='training_fixation_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
10.0053 	EXP 	window1: mouseVisible = True
10.0075 	EXP 	Created training_fixation_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='training_fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
10.2010 	EXP 	Sound training_sound set volume 1.000
10.2013 	EXP 	window1: mouseVisible = True
10.2215 	EXP 	Created sample_start = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_start', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.2232 	EXP 	Imported src/sample_list.csv as conditions, 2 conditions, 1 params
10.2354 	EXP 	Sound sample_sound set volume 1.000
10.2355 	EXP 	window1: mouseVisible = True
10.2374 	EXP 	Created sample_fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
10.2375 	EXP 	window1: mouseVisible = True
10.2426 	EXP 	Created sample_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='sample_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.2427 	EXP 	window1: mouseVisible = True
10.2506 	EXP 	Created trial_start = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_start', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.2526 	EXP 	Imported src/trial_list.csv as conditions, 32 conditions, 2 params
10.2642 	EXP 	Sound trial_sound set volume 1.000
10.2643 	EXP 	window1: mouseVisible = True
10.2658 	EXP 	Created trial_fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
10.2659 	EXP 	window1: mouseVisible = True
10.2682 	EXP 	Created trial_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='trial_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Do you think this is the language you learned?', units='height', win=Window(...), wrapWidth=1)
10.2683 	EXP 	window1: mouseVisible = True
10.2717 	EXP 	Created conclusion_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='conclusion_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0251 	EXP 	unnamed Form: autoLog = True
0.0251 	EXP 	form: name = 'form'
0.0251 	EXP 	form: depth = -1
0.0251 	EXP 	form: fillColor = 'white'
0.0251 	EXP 	form: borderColor = 'transparent'
0.0387 	EXP 	intro_text: autoDraw = True
1.5102 	EXP 	intro_text: autoDraw = False
1.5102 	EXP 	survey_text: autoDraw = True
1.5276 	DATA 	Keypress: right
2.3171 	DATA 	Keypress: space
4.5207 	EXP 	form: autoDraw = True
4.5207 	EXP 	survey_text: autoDraw = False
5.6332 	DATA 	Keypress: 2
5.8570 	DATA 	Keypress: tab
6.5999 	DATA 	Keypress: rshift
7.5063 	DATA 	Keypress: e
7.9768 	DATA 	Keypress: n
8.4752 	DATA 	Keypress: g
8.7270 	DATA 	Keypress: l
8.7973 	DATA 	Keypress: i
8.9822 	DATA 	Keypress: s
9.3593 	DATA 	Keypress: h
9.7729 	DATA 	Keypress: comma
9.8508 	DATA 	Keypress: space
9.9194 	DATA 	Keypress: lshift
10.1055 	DATA 	Keypress: j
10.2726 	DATA 	Keypress: a
10.4035 	DATA 	Keypress: p
10.8137 	DATA 	Keypress: a
11.0670 	DATA 	Keypress: n
11.1699 	DATA 	Keypress: e
11.2478 	DATA 	Keypress: s
11.4106 	DATA 	Keypress: e
11.5697 	DATA 	Keypress: tab
12.7098 	DATA 	Keypress: 9
13.0717 	DATA 	Keypress: comma
13.1784 	DATA 	Keypress: space
13.2324 	DATA 	Keypress: 6
13.5937 	DATA 	Keypress: tab
14.4331 	DATA 	Keypress: 1
14.6957 	DATA 	Keypress: 5
16.0184 	DATA 	Mouse: Left button down, pos=(692,54)
16.0442 	EXP 	form: autoDraw = False
16.0442 	EXP 	survey_text: autoDraw = False
16.0442 	EXP 	training_text: autoDraw = True
16.1442 	DATA 	Mouse:  Left button up, pos=(692,54)
16.8621 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
16.8623 	EXP 	New trial (rep=0, index=0): None
16.8870 	DATA 	Keypress: space
16.8912 	EXP 	training_text: autoDraw = False
16.8912 	EXP 	training_fixation_1: autoDraw = True
17.8608 	EXP 	Sound training_sound started
24.4934 	EXP 	Sound training_sound reached end of file
24.4935 	EXP 	Sound training_sound reached end of file
25.3596 	EXP 	training_fixation_2: autoDraw = True
25.3931 	EXP 	training_fixation_1: autoDraw = False
28.8597 	EXP 	training_fixation_2: autoDraw = False
28.8597 	EXP 	training_fixation_1: autoDraw = False
28.8597 	EXP 	training_fixation_2: autoDraw = False
28.8597 	EXP 	sample_start: autoDraw = True
30.9634 	DATA 	Keypress: escape
31.0104 	EXP 	186c experiment: status = STOPPED
31.0272 	EXP 	sample_start: autoDraw = False
31.0272 	EXP 	186c experiment: status = STOPPED
31.0730 	EXP 	window1: mouseVisible = True
